iter,n,p,d,m,f0,f1,f3,q,r,b
52,53,16,124163978842451419189656941888818893212429344757603286469437691060593623040000000000,9560626370868759277603584525439054777357059546335453058146702211665708974080000000000,19252362765145093334194102488075527151675121963402222841826050915080077312000000000000,363252127644247044041398160152368436824058904969853261166529262548680704000000000000,2314706403905492964391682009935077869855558075219401609416619183555497942946789306640625,164249358725037825439200,4795790920840234482878854608370014797680982053988494674038532451629576237454309306640625,1
53,54,16,13524633884944097478145034000367171117341569449275801626926924514971604746240000000000,1041396809140695505817167618028272176035300847594236725273373187652813565460480000000000,2079255178635670080092963068712156932380913172047440066917213498828648349696000000000000,38504725530290186668388204976151054303350243926804445683652101830160154624000000000000,256932410833509719047476703102793643553966946349353578645244729374660271667093613037109375,164249358725037825439200,522624153424223210062080338477868141178443701409373634106067849035673976431386733037109375,0
54,55,16,1422155734043672340971275467063503426369539256594982130024455745786773157969920000000000,109505991521362770254788210963889763830454522757813624011883092425581533163683840000000000,228718069649923708810225937558337262561900448925218407360893484871151318466560000000000000,4158510357271340160185926137424313864761826344094880133834426997657296699392000000000000,29033362424186598252364867450615681721598264937476954386912654419336610698381578273193359375,164249358725037825439200,59551654425098198522556925458794241396848422036332578924259314885402475735917875233193359375,1
55,56,16,160595641102075297667026227514409690765411144569542914436524559034202344076083200000000000,12365864364859797920361019518609546188936658131854804411612391045633580493858406400000000000,25616423800791455386745305006533773406932850279624461624420070305568947668254720000000000000,457436139299847417620451875116674525123800897850436814721786969742302636933120000000000000,3338836678781458799021959756820803397983800467809849754494955258223710230313881501417236328125,164249358725037825439200,6730979894379963110416336841729405565790825657638882000973721148767164226959337783017236328125,0
56,57,16,17529275664132585921086485606497210840602247293938369602168963642088359899588198400000000000,1349754226138209115923659391700285234726373041633254459367010200440803712268291276800000000000,2920272313290225914088964770744850168390344931877188625183888014834860034181038080000000000000,51232847601582910773490610013067546813865700559248923248840140611137895336509440000000000000,390643891417430679485569291548033997564104654733752421275909765212174096946724135665816650390625,164249358725037825439200,792696521728346979815887468583442620582081458636199567725030485697052515356387317285016650390625,1
57,58,16,2049570273312697705777349969153749582642521892068223057896101995809210923889564057600000000000,157816911045077723344855947624838717863474185689253175457999853677309241139496432435200000000000,338751588341666206034319913406402619533280012097753880521331009720843763965000417280000000000000,5840544626580451828177929541489700336780689863754377250367776029669720068362076160000000000000,46486623078674250858782745694216045710128453913316538131833262060248717536660172144232181396484375,164249358725037825439200,92805900466600902427285520934296404537598745473892718628046038007393555379989192264500981396484375,0
58,59,17,231909607077692482041994666880345251249751849616159497465580055484198747102827354521600000000000,19248497387448476009485557351068655853729403518141238289643144605188496009534670425292800000000000,39972687424316612312049749781955509104927041427534957901517059147059564147870049239040000000000000,677503176683332412068639826812805239066560024195507761042662019441687527930000834560000000000000,5624881392519584353912712229000141530925542923511301113951824709290094821935880829452093948974609375,9690712164777231700912800,11614172313174475745353763841526442120521660279326086081783386011890833513914805306625034748974609375,1
59,60,17,28042836811851045293024010518693544886537278278902328461981108566577139686063628668108800000000000,2327555455383636759320992873051564225582594097148893262344432011025902593943281179453030400000000000,4796722490917993477445969973834661092591244971304194948182047097647147697744405908684800000000000000,79945374848633224624099499563911018209854082855069915803034118294119128295740098478080000000000000,691860411279908875531263604167017408303841779591890037016074439242681663098113342022607555723876953125,9690712164777231700912800,1405449684549337967069381986293332402869341882222772224223145199276221498096638388770588970123876953125,0
60,61,18,3285195042573492210538781762679314368174619310613209499634698909695137634031895341694976000000000000,289097163746467314527412795115779664399366499333962435967853504053172111794806790069157888000000000000,585200143891995204248408336807828653296131886499111783678209745912952019124817520859545600000000000000,9593444981835986954891939947669322185182489942608389896364094195294295395488811817369600000000000000,86482551409988609441407950520877176037980222448986254627009304905335207887264167752825944465484619140625,591133442051411133755680800,182419916977139645711010506029101048440532207890494643285164727267903897862187644528911563153484619140625,1
61,62,18,410387240175802036640623314994545675102486045837419948851797361178101086747380043504156672000000000000,36114077135470579224374851719520019409018772033692955498958167783672895633769443828365787136000000000000,72564817842607405326802633764170753008720353925889861176098008493206050371477372586583654400000000000000,1170400287783990408496816673615657306592263772998223567356419491825904038249635041719091200000000000000,10983284029068553399058809716151401356823488251021254337630181722977571401682549304608894947116546630859375,591133442051411133755680800,22793324018180885056245411098618239043126800784093051777023490112866313536699918222271483940652546630859375,0
62,63,18,49717617494015462134940474385708006406116005910841850090266453294258630718425490352796336128000000000000,4375150339473360667874761745942304563738208520154082807943447889894759503221443151046077579264000000000000,9143167048168533071177131854285514879098764594662122508188349070143962346806148945909540454400000000000000,145129635685214810653605267528341506017440707851779722352196016986412100742954745173167308800000000000000,1416843639749843388478586453383530775030229984381741809554293442264106710817048860294547448178034515380859375,591133442051411133755680800,2961681053367079247148554368486730917207050152522346672433641424664848432138493537830309419722098515380859375,1
63,64,18,6409549439931163039656105040127550313188057452617852833725769132062999571264566529625505660928000000000000,570449900153873510529393348571351977873737113282988902201593452753606961842546421136670003822592000000000000,1170325382165572233110672877348545904524641868116751681048108680978427180391187065076421178163200000000000000,18286334096337066142354263708571029758197529189324245016376698140287924693612297891819080908800000000000000,185606516807229483890694825393242531528960127954008177051612440936597979117033400698585715711322521514892578125,1182266884102822267511361600,379966172979019870007029392717053363763853268520147317397883374881439729926792969335065096197679513514892578125,0
64,65,18,802135994214851802933627181427755410329873824745760917700521750763776020428252217900245643689984000000000000,71390103485121810461092819147070231519358770402372721675346435817976065818114447393121862288408576000000000000,152142299681524390304387474055310967588203442855177718536254128527195533450854318459934753161216000000000000000,2340650764331144466221345754697091809049283736233503362096217361956854360782374130152842356326400000000000000,24685666735361521357462411777301256693351697017883087547864454644567531222565442292911900189605895361480712890625,1182266884102822267511361600,50849378302995957226689879967571255179657370892591906530798547082354638735573160518559276832395500737480712890625,1
65,66,18,106618330012261878847592879340305295151932880953182422663164044961247737016455162457184776036024320000000000000,9489031371091307217435766261287171268522026404833235617021600001551048594464509458689445067206164480000000000000,20082783557961219520179146575301047721642854456883458846785544965589810415512770036711387417280512000000000000000,304284599363048780608774948110621935176406885710355437072508257054391066901708636919869506322432000000000000000,3332565009273805383257425589935669653602479097414216818961701377016616715046334709543106525596795873799896240234375,1182266884102822267511361600,6764940717819656969346280811676165624413627386278489145405219545365175545065971136822215847020884470279896240234375,0
66,67,19,13769334962255519227273485124809677024878733400109724354465145677830310219270372807428520930432778240000000000000,1308086821414274326590981086856919317363479673010423813674188839393879470830685416705709488391113932800000000000000,2691092996766803415704005641090340394700142497222383485469263025389034595678711184919325913915588608000000000000000,40165567115922439040358293150602095443285708913766917693571089931179620831025540073422774834561024000000000000000,456561406270511337506267305821186742543539636345747704197753088651276489961347855207405594006761034710585784912109375,79211881234889091923261227200,955826635572774338676069169899451751462074915886265145715774869795527490031485157532521123621096392457785784912109375,1
67,68,19,1885256452058162015495005299875098816777035984528469981191900610760441190213255496268844579512553308160000000000000,179099362945525391472025503488134387593818418530204648213230558022241913070259272145540235053692564275200000000000000,365988647560285264535744767188286293679219379622244154023819771452908705012304721149028324292520050688000000000000000,5382185993533606831408011282180680789400284994444766970938526050778069191357422369838651827831177216000000000000000,63462035471601075913371155509144957213552009452058930883487679322527432104627351873829377566939783824771424102783203125,79211881234889091923261227200,130929067217529390089373809704899795310381756406285192481110385370998143995705758964088577782156506419792224102783203125,0
68,69,19,251012691486376427275912709500832758292276608901427150471159957012641932677645325122724210985876072693760000000000000,23846205691205760591211707402579112037766277845635579294760195916200983604376305886658800043658226905907200000000000000,50506433363319366505932777871983508527732274387869693255287128460501401291698051518565908752367766994944000000000000000,731977295120570529071489534376572587358438759244488308047639542905817410024609442298056648585040101376000000000000000,8948147001495751703785332926789438967110833332740309254571762784476367926752456614209942236938509519292770798492431640625,79211881234889091923261227200,18572489191128763438999639366244426099988558084486824394321985432968818711875606787328408480782653491435055598492431640625,1
69,70,19,35371728720240517493147443445491493231692610787641435073067713610650404119539664309233997764635938133114880000000000000,3360314228422849161849007127321691857010798024825936331941432793011788391356268109377229787640414122645913600000000000000,7070900670864711310830588902077691193882518414301757055740197984470196180837727212599227225331487379292160000000000000000,101012866726638733011865555743967017055464548775739386510574256921002802583396103037131817504735533989888000000000000000,1279585021213892493641302608530889772296849166581864223403762078180120613525601295832021739882206861258866224184417724609375,79211881234889091923261227200,2619106726935404729423653629217805532907540227182635504695116312296605825528408032095162814888684306908161174584417724609375,0
70,71,20,4851029154107033716028776526624842035381500961494061523718905648570053774152156900255627869544295804646195200000000000000,494804973718917439034935205715733887608913098072394275419328376154145484963520003826074042693518172073911910400000000000000,1004067895262789006137943624095032149531317614830849501915108113794767857678957264189090265997071207859486720000000000000000,14141801341729422621661177804155382387765036828603514111480395968940392361675454425198454450662974758584320000000000000000,185539828076014411577988878236979016983043129154370312393545501336117488961212187895643152282919994882535602506740570068359375,5624043567677125526551547131200,389244996693563038419192245588698321752004935857752402991857396392366438047387092040849641604341209196765526346740570068359375,1
71,72,20,702987941224928210297747444584882951411938173360760250479564998065888028291281734261497611925952979018344038400000000000000,71704770004942677450370239347658061044017693682797545548915629802720578885710736894672756416447203859871091916800000000000000,144585776917841616883863881869684629532509736535642328275775568386446571505769846043228998303578253931766087680000000000000000,2008135790525578012275887248190064299062635229661699003830216227589535715357914528378180531994142415718973440000000000000000,27274354727174118501964365100835915496507339985692435921851188696409270877298191620659543385589239247732733568490863800048828125,5624043567677125526551547131200,56426757492333694275361822109646542891904157126830349012595164129899667925321835280082040140441659276490731873770863800048828125,0
72,73,21,99222127745864084270599744772033080704256461734287777065227143493898340358586655205277475585343086562922568089600000000000000,10715989796553321101224772435379572716059697867303079923044531497341020758727358762169967363217053348795637353676800000000000000,21109523430004876065044126752973955911746421534203779928263232984421199439842397522311433752322425074037848801280000000000000000,289171553835683233767727763739369259065019473071284656551551136772893143011539692086457996607156507863532175360000000000000000,4063878854348943656792690400024551408979593657868172952355827115764981360717430551478271964452796647912177301705138706207275390625,410555180440430163438262940577600,8647427186701079395837025654083674398277438794971381654657274471567340159089162644700658642048265578743992550098149906207275390625,1
73,74,21,14775602204731839537275290500456199041886462886277300108074714086882050835365191352056969432067247146050227116441600000000000000,1595765038111038670025731374049269496523737991717948411672069121383261490219440666022152698663262691773424528575692800000000000000,3124209467640721657626530759440145474938470387062159429382958481694337517096674833302092195343718910957601622589440000000000000000,42219046860009752130088253505947911823492843068407559856526465968842398879684795044622867504644850148075697602560000000000000000,613645707006690492175696250403707262755918642338094115805729894480512185468332013273219066632372293834738772557475944637298583984375,410555180440430163438262940577600,1287689700429280689707648779361083569236815628684891174616232102377696713321192281043672384668453486494960871017538459837298583984375,0
